,loss,accuracy,val_loss,val_accuracy
0,0.672488272190094,0.65625,0.9152710437774658,0.65625
1,0.8929374814033508,0.65625,0.5541150569915771,0.65625
2,0.5424916744232178,0.65625,0.5648350715637207,0.84375
3,0.5551171898841858,0.90625,0.5657106041908264,0.78125
4,0.5531700849533081,0.71875,0.46595022082328796,0.84375
5,0.4499064087867737,0.90625,0.3737662136554718,0.96875
6,0.3519899845123291,0.96875,0.33840203285217285,0.875
7,0.30744653940200806,0.90625,0.32337653636932373,0.84375
8,0.2833874225616455,0.875,0.2787620425224304,0.875
9,0.2369319498538971,0.90625,0.2231675684452057,0.9375
